dropped_archetype,winner,spearman_vs_full_suite,ks,psi,wasserstein,jensen_shannon,mmd,c2st
true_null,mmd,0.8285714285714287,-0.07043944380057936,-0.15323917623026323,-0.0883775831784194,-0.13268270137010596,0.0864630357176235,-0.08609590550290865
covariate_shift_mild,mmd,0.942857142857143,0.11681761432774367,0.04493672100318396,0.11298490789001582,0.05355159615766234,0.27107705575581864,0.1356784025196822
covariate_shift_moderate,mmd,1.0,0.09437903879602019,0.024133196686197626,0.09438550893204149,0.032928178406304034,0.24650987551958153,0.12067404772180987
covariate_shift_strong,mmd,1.0,0.03524324344517494,-0.030925643919056816,0.045426860532377523,-0.021621005195746886,0.18228876129714508,0.08134166694037367
concept_drift_no_covariate_shift,mmd,0.9856107606091623,0.19135633418332718,0.130090851067199,0.20935374484860428,0.130090851067199,0.32409771256749476,0.3231853767605723
imputation_masked_null,ks,-0.46381682852195877,0.19135633418332718,0.130090851067199,0.1592442443138734,0.130090851067199,0.12699338941420205,0.047344026755294616
imputation_visible,mmd,1.0,-0.01625062683426176,-0.07914676195526278,0.0028656824482878036,-0.06935651815591015,0.12699338941420205,0.047344026755294616
dilution_shift,wasserstein,0.6667366910003157,0.0519043571072802,0.0519043571072802,0.11922664189999793,0.04795723033730534,0.0864630357176235,0.11787503002094964
dilution_permuted,mmd,0.942857142857143,-0.07043944380057936,-0.15323917623026323,-0.0883775831784194,-0.13268270137010596,0.0864630357176235,0.05610462611757105
irrelevant_feature_drift,mmd,0.942857142857143,0.12434443298846766,0.0519043571072802,0.11922664189999793,0.06046043301793606,0.279342115395399,0.14072121602625362
sudden_shift,mmd,1.0,-0.01625062683426176,-0.07914676195526278,0.0028656824482878036,-0.06935651815591015,0.12699338941420205,0.047344026755294616
gradual_shift,mmd,1.0,-0.01625062683426176,-0.07914676195526278,0.0028656824482878036,-0.06935651815591015,0.32409771256749476,0.047344026755294616
