detector,mcc,harm_f1,harm_precision,harm_recall,specificity,balanced_accuracy,tp,fp,fn,tn
mmd,0.18897136306247203,0.6394052044609665,0.593103448275862,0.6935483870967742,0.49137931034482757,0.5924638487208009,86,59,38,57
c2st,0.08929048759956631,0.653968253968254,0.5392670157068062,0.8306451612903226,0.2413793103448276,0.5360122358175751,103,88,21,28
wasserstein,0.05797747850973157,0.6216216216216216,0.5348837209302325,0.7419354838709677,0.3103448275862069,0.5261401557285873,92,80,32,36
ks,0.051166779025592336,0.592057761732852,0.5359477124183006,0.6612903225806451,0.3879310344827586,0.5246106785317018,82,71,42,45
jensen_shannon,-0.0032530171704454563,0.5824561403508771,0.515527950310559,0.6693548387096774,0.3275862068965517,0.49847052280311455,83,78,41,38
psi,-0.011791665765914455,0.5774647887323943,0.5125,0.6612903225806451,0.3275862068965517,0.4944382647385984,82,78,42,38
