mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
sudden,8,3,1.0,0.853597998219651,0.7123902630006858,0.14120773521896524,0.46299999952316284,6.211971885023728,19.360378679327468,0.8246850847432544,0.014051198959350586,0.49992773437499993,1,1,1,1,1,1,1
gradual,8,3,1.0,0.853597998219651,0.720320723372837,0.13327727484681395,0.4675000011920929,6.208405561387919,19.487622236738318,0.8248880552763957,0.014505445957183838,0.49986494140625015,1,1,1,1,1,1,1
sudden,1,4,1.0,0.8693774998497157,0.7152298329524356,0.1541476668972801,0.4673999845981598,6.268687318560877,20.846606433604244,0.8268277378010904,0.01284646987915039,0.49988017578125,1,1,1,1,1,1,1
gradual,1,4,0.125,0.8693774998497157,0.7843949714668892,0.0849825283828265,0.4300564229488373,3.599085419616062,2.3520174171214396,0.6384061813455416,-0.0003688335418701172,0.49978154296875,1,1,1,1,0,1,1
sudden,2,4,1.0,0.8693774998497157,0.7168702444815459,0.15250725536816978,0.46674999594688416,6.290904532480941,20.870049826809392,0.8264569996992978,0.013311266899108887,0.49987763671874996,1,1,1,1,1,1,1
gradual,2,4,0.25,0.8693774998497157,0.75897896338821,0.11039853646150566,0.43748143315315247,4.547857996769434,4.871015568711602,0.716234239492721,-0.0002593994140625,0.49966884765624997,1,1,1,1,0,1,1
sudden,3,4,1.0,0.8693774998497157,0.7073571405763186,0.16202035927339709,0.46274998784065247,6.2869078334424575,20.72125989200469,0.8276208748171785,0.013101518154144287,0.499953515625,1,1,1,1,1,1,1
gradual,3,4,0.375,0.8693774998497157,0.7436105561105562,0.12576694373915953,0.4465999901294708,5.0750297106539,7.519006213945362,0.751047582277701,0.00011748075485229492,0.4997665039062501,1,1,1,1,0,1,1
sudden,4,4,1.0,0.8693774998497157,0.7116973351990477,0.15768016465066803,0.46639999747276306,6.314716885415846,20.923347323155905,0.8290116436894677,0.012978434562683105,0.49992724609375006,1,1,1,1,1,1,1
gradual,4,4,0.5,0.8693774998497157,0.7374856878281535,0.1318918120215622,0.4564499855041504,5.452131538176671,10.233953258378854,0.7762911948518465,0.0008423328399658203,0.49973886718750005,1,1,1,1,1,1,1
sudden,5,4,1.0,0.8693774998497157,0.7126375336991775,0.1567399661505382,0.46219998598098755,6.293663413837499,20.780418700976547,0.82738820242198,0.012461841106414795,0.4998563476562501,1,1,1,1,1,1,1
gradual,5,4,0.625,0.8693774998497157,0.715926339642093,0.15345116020762273,0.4546000063419342,5.686317002587202,12.862863039905065,0.7938520078169509,0.002386927604675293,0.4998058593749999,1,1,1,1,1,1,1
