detector,null_mean,null_sd,null_p50,null_p95,null_max,threshold,realised_far,far_is_out_of_sample
ks,0.029947893371184666,0.00681686669820009,0.02872258424758911,0.04406602680683135,0.05869199335575104,0.04441030472517012,0.04,True
psi,0.009643039110733444,0.0032868246274156557,0.008883806949085117,0.016215985635429142,0.02192070170494365,0.017273471527248122,0.04,True
wasserstein,0.4578617207022573,0.1789940159957063,0.42845895468750567,0.7908075000000043,1.2570499999999232,0.7684625404029336,0.06666666666666667,True
jensen_shannon,0.05822407149114803,0.008381030153296854,0.058203308169701276,0.07216387612097228,0.0801019986646572,0.07239620258321339,0.05333333333333334,True
mmd,-2.4883349736531577e-05,0.0001896020079719035,-4.455447196960449e-05,0.0003049522638320922,0.0005144476890563965,0.0005444556474685663,0.0,True
c2st,-0.0005023222656250037,0.0071872503777171476,-0.0008815917968749698,0.011655754394531247,0.01877192382812498,0.013510051269531278,0.02,True
