rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
0,0.8598014920377648,0.8616687898540646,-0.0018672978162997955,0.11273336641409848,0.025242149829864502,0.014129787964713552,0.7733999999999703,0.06127430028575424,5.751848220825195e-05,0.005765478515624922
1,0.8489663376623376,0.8601123186314006,-0.01114598096906294,0.06534997538302556,0.031729698181152344,0.009007863783690105,0.40839999999998455,0.05156957746975443,3.838539123535156e-05,-0.0031231933593749983
2,0.8512041912714213,0.8603957072030481,-0.009191515931626815,-0.021904194406596966,0.04843759536743164,0.014266813932000131,0.4096607504378137,0.06459779374238576,-0.00013440847396850586,0.006830419921874942
3,0.8694274106060714,0.8563738000720936,0.0130536105339778,0.04277887746422304,0.018628299236297607,0.004259752212602145,0.5344999999999963,0.0500515940997265,0.00018227100372314453,0.005370068359375035
4,0.8515001151810196,0.8749562687044636,-0.02345615352344399,-0.00429393177612214,0.026513606309890747,0.010224004543713604,0.7566999999999718,0.0724050988701789,-0.0002709031105041504,0.0030796874999999835
5,0.848616461662742,0.8744190420177262,-0.025802580354984284,0.1170547220657191,0.03341454267501831,0.006399335344742616,0.4089999999999791,0.04167539117908915,-2.4378299713134766e-05,-0.011665771484375032
6,0.8557654169441054,0.8492491934480524,0.006516223496052964,0.010361856455135654,0.025014519691467285,0.007435501773894911,0.4949298742563255,0.049644350010909256,0.00012165307998657227,0.0031643554687500464
7,0.8681158874917322,0.8293022576658129,0.038813629825919294,-0.00734891691645978,0.02532172203063965,0.009299648325513788,0.286155528050149,0.05535478953034411,-3.993511199951172e-05,-0.00017666015625000808
8,0.846461366794317,0.8544072577250148,-0.007945890930697752,0.04062026107294714,0.02931910753250122,0.013509504638891157,0.7806000000000254,0.06805073331091571,0.0004988312721252441,0.008826562500000024
9,0.863254414873501,0.8525050912772336,0.010749323596267346,0.056947422919409685,0.023623675107955933,0.00617255347409769,0.44698359289827083,0.056264038569518456,-4.458427429199219e-05,-0.008635156250000053
10,0.8625312573908284,0.8416662623891533,0.020864995001675046,0.015234733486913954,0.03388109803199768,0.008537704441953496,0.2535090868679668,0.04946264199005397,7.295608520507812e-05,-0.0039528808593750075
