dataset,detector,masked_null_score_mean,null_score_mean,threshold,score_over_threshold,alarm_rate
real,ks,0.028701458126306485,0.02972038240482405,0.04441030472517012,0.6462792431604181,0.0
real,psi,0.009520475673005731,0.009718137788166267,0.017273471527248122,0.551161685014365,0.0
real,wasserstein,0.6853011056067879,0.4505320900483255,0.7684625404029336,0.8917820577792367,0.3
real,jensen_shannon,0.05846426299041045,0.0580433138347451,0.07239620258321339,0.8075598015408427,0.05
real,mmd,0.005605614185333215,-9.703040122979319e-06,0.0005444556474685663,10.295814197899105,1.0
real,c2st,0.4998148828125,-0.0005872890624999961,0.013510051269531278,36.995779870925745,1.0
synthetic,ks,0.02878767102956769,0.01627066920200979,0.020265008509159084,1.4205605201970015,1.0
synthetic,psi,0.008215432401283411,0.0021774557374186665,0.002784528983757595,2.950384948120403,1.0
synthetic,wasserstein,0.033128979593912256,0.020029261973065347,0.024873986380583787,1.3318725469662624,0.95
synthetic,jensen_shannon,0.051032810881075266,0.025574539927140767,0.028461904512213462,1.793021646150779,1.0
synthetic,mmd,0.001242911815643265,-1.0073582331338673e-05,0.00015898346900939932,7.8178682562888495,1.0
synthetic,c2st,0.49999995605468756,-0.00039156412760416,0.010537578125000004,47.44922885728901,1.0
