detector,mcc,harm_f1,harm_precision,harm_recall,specificity,balanced_accuracy,tp,fp,fn,tn
c2st,0.04579412977102271,0.7422096317280454,0.6858638743455497,0.808641975308642,0.23076923076923078,0.5197056030389364,131,60,31,18
wasserstein,-0.0809415673884012,0.6706586826347306,0.6511627906976745,0.691358024691358,0.23076923076923078,0.4610636277302944,112,60,50,18
psi,-0.1320989873168695,0.6273291925465838,0.63125,0.6234567901234568,0.24358974358974358,0.4335232668566002,101,59,61,19
jensen_shannon,-0.14529756414356948,0.6253869969040248,0.6273291925465838,0.6234567901234568,0.23076923076923078,0.42711301044634375,101,60,61,18
ks,-0.1716386182537528,0.5968253968253968,0.6143790849673203,0.5802469135802469,0.24358974358974358,0.4119183285849953,94,59,68,19
mmd,-0.21602014220233176,0.5602605863192183,0.593103448275862,0.5308641975308642,0.24358974358974358,0.3872269705603039,86,59,76,19
