detector,mcc,mcc_lo95,mcc_hi95,p_mcc_above_zero
mmd,0.18897136306247203,0.0608173063931814,0.31469869839519554,0.999
c2st,0.08929048759956631,-0.03450916669864882,0.20684644906566638,0.9165
wasserstein,0.05797747850973157,-0.06936665611617189,0.1762006084557883,0.807
ks,0.051166779025592336,-0.08123473691611266,0.17909260665962592,0.7805
jensen_shannon,-0.0032530171704454563,-0.13749471419768497,0.1206659726373287,0.466
psi,-0.011791665765914455,-0.14083669613067046,0.11194623649021233,0.409
